Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена от, руб","Цена до, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 487 750 ,Not available,Prime,автомат,полный,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 325 000 ,Not available,Prime,автомат,полный,Бензин,Балашиха
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,Новый,1.5,113,2024,1 521 940 ,Not available,Action,вариатор,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 002 000 ,Not available,Prime,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Plug-in Hybrid,Chery,Tiggo 7 Pro Plug-in Hybrid,Новый,1.5,235,2023,2 957 220 ,Not available,Ultimate,автомат,передний,Гибрид,Балашиха
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 470 000 ,Not available,Action,вариатор,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 096 430 ,Not available,Active AWD,робот,полный,Бензин,Балашиха
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 549 000 ,Not available,Tech Plus,робот,полный,Бензин,Тула (170 км от Москвы)
Chery Tiggo 8 Pro Max I,Chery,Tiggo 8 Pro Max I,Новый,2.0,197,2024,2 709 000 ,Not available,Dreamline,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 172 212 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 142 350 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,1.6,186,2024,2 359 000 ,Not available,Elite FWD,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 422 210 ,Not available,Ultra AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,2 025 025,2 025 025,Action,механика,передний,Бензин,Балашиха
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2025,2 450 000 ,Not available,Tech+,робот,полный,Бензин,Химки
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,36,2.0,238,2025,4 050 000,4 050 000,зелёный,автомат,полный,Бензин,Москва
Geely Cityray,Geely,Cityray,42,1.5,147,2024,2 245 000,2 245 000,серый,робот,передний,Бензин,Москва
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,5 000,2.0,190,2023,Not available,Not available,синий,робот,полный,Бензин,Москва
Chery Tiggo 7 I,Chery,Tiggo 7 I,72 000,1.5,152,2020,649 000,649 000,серебристый,механика,передний,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,10 000,1.5,177,2022,1 386 000,1 386 000,жёлтый,автомат,передний,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 002 000 ,Not available,Prime,робот,передний,Бензин,Балашиха
Chery Tiggo 4 I Рестайлинг,Chery,Tiggo 4 I Рестайлинг,81 758,1.5,113,2022,1 046 000,1 046 000,серый,вариатор,передний,Бензин,Москва
Haval M6 II,Haval,M6 II,10 487,1.5,143,2024,Not available,Not available,чёрный,робот,передний,Бензин,Северо-Западный административный округ
Chery Tiggo 8 Pro Max I,Chery,Tiggo 8 Pro Max I,118 706,2.0,197,2023,1 550 000,1 550 000,белый,робот,полный,Бензин,Тимохово
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,16 000,1.5,147,2022,1 840 000,1 840 000,серебристый,робот,передний,Бензин,Королёв
Geely Boyue Cool,Geely,Boyue Cool,5 000,1.5,174,2024,1 750 000,1 750 000,белый,робот,передний,Бензин,Москва
Geely Jiaji L I Рестайлинг,Geely,Jiaji L I Рестайлинг,10,1.5,181,2024,2 699 999,2 699 999,серый,робот,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,5,2.0,238,2024,3 590 000,3 590 000,серебристый,автомат,полный,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,58 000,1.5,177,2022,2 100 000,2 100 000,синий,робот,полный,Бензин,Одинцово
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 121 000 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 602 000 ,Not available,Prime,автомат,полный,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 325 000 ,Not available,Prime,автомат,полный,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 735 200 ,Not available,Ultra,автомат,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,1 876 000 ,Not available,Active,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 302 000 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 471 823 ,Not available,Ultra AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 142 000 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 189 267 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 487 750 ,Not available,Prime,автомат,полный,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 325 000 ,Not available,Prime,автомат,полный,Бензин,Балашиха
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,Новый,1.5,113,2024,1 521 940 ,Not available,Action,вариатор,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 002 000 ,Not available,Prime,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Plug-in Hybrid,Chery,Tiggo 7 Pro Plug-in Hybrid,Новый,1.5,235,2023,2 957 220 ,Not available,Ultimate,автомат,передний,Гибрид,Балашиха
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 470 000 ,Not available,Action,вариатор,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 096 430 ,Not available,Active AWD,робот,полный,Бензин,Балашиха
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 549 000 ,Not available,Tech Plus,робот,полный,Бензин,Тула (170 км от Москвы)
Chery Tiggo 8 Pro Max I,Chery,Tiggo 8 Pro Max I,Новый,2.0,197,2024,2 709 000 ,Not available,Dreamline,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 172 212 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 142 350 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,1.6,186,2024,2 359 000 ,Not available,Elite FWD,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 422 210 ,Not available,Ultra AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,2 025 025,2 025 025,Action,механика,передний,Бензин,Балашиха
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2025,2 450 000 ,Not available,Tech+,робот,полный,Бензин,Химки
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,36,2.0,238,2025,4 050 000,4 050 000,зелёный,автомат,полный,Бензин,Москва
Geely Cityray,Geely,Cityray,42,1.5,147,2024,2 245 000,2 245 000,серый,робот,передний,Бензин,Москва
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,5 000,2.0,190,2023,Not available,Not available,синий,робот,полный,Бензин,Москва
Chery Tiggo 7 I,Chery,Tiggo 7 I,72 000,1.5,152,2020,649 000,649 000,серебристый,механика,передний,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,10 000,1.5,177,2022,1 386 000,1 386 000,жёлтый,автомат,передний,Бензин,Москва
Chery Tiggo 4 I Рестайлинг,Chery,Tiggo 4 I Рестайлинг,81 758,1.5,113,2022,1 046 000,1 046 000,серый,вариатор,передний,Бензин,Москва
Haval M6 II,Haval,M6 II,10 487,1.5,143,2024,Not available,Not available,чёрный,робот,передний,Бензин,Северо-Западный административный округ
Chery Tiggo 8 Pro Max I,Chery,Tiggo 8 Pro Max I,118 706,2.0,197,2023,1 550 000,1 550 000,белый,робот,полный,Бензин,Тимохово
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,16 000,1.5,147,2022,1 840 000,1 840 000,серебристый,робот,передний,Бензин,Королёв
Geely Boyue Cool,Geely,Boyue Cool,5 000,1.5,174,2024,1 750 000,1 750 000,белый,робот,передний,Бензин,Москва
Geely Jiaji L I Рестайлинг,Geely,Jiaji L I Рестайлинг,10,1.5,181,2024,2 699 999,2 699 999,серый,робот,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,5,2.0,238,2024,3 590 000,3 590 000,серебристый,автомат,полный,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,58 000,1.5,177,2022,2 100 000,2 100 000,синий,робот,полный,Бензин,Одинцово
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 325 000 ,Not available,Prime,автомат,полный,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 735 200 ,Not available,Ultra,автомат,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,1 876 000 ,Not available,Active,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 302 000 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 471 823 ,Not available,Ultra AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 142 000 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 189 267 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 487 750 ,Not available,Prime,автомат,полный,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 325 000 ,Not available,Prime,автомат,полный,Бензин,Балашиха
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,Новый,1.5,113,2024,1 521 940 ,Not available,Action,вариатор,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 002 000 ,Not available,Prime,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Plug-in Hybrid,Chery,Tiggo 7 Pro Plug-in Hybrid,Новый,1.5,235,2023,2 957 220 ,Not available,Ultimate,автомат,передний,Гибрид,Балашиха
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 470 000 ,Not available,Action,вариатор,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 096 430 ,Not available,Active AWD,робот,полный,Бензин,Балашиха
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 549 000 ,Not available,Tech Plus,робот,полный,Бензин,Тула (170 км от Москвы)
Chery Tiggo 8 Pro Max I,Chery,Tiggo 8 Pro Max I,Новый,2.0,197,2024,2 709 000 ,Not available,Dreamline,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 172 212 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 142 350 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,1.6,186,2024,2 359 000 ,Not available,Elite FWD,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 422 210 ,Not available,Ultra AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,2 025 025,2 025 025,Action,механика,передний,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 584 000 ,Not available,Ultra,автомат,полный,Бензин,Балашиха
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2025,2 450 000 ,Not available,Tech+,робот,полный,Бензин,Химки
Geely Cityray,Geely,Cityray,42,1.5,147,2024,2 245 000,2 245 000,серый,робот,передний,Бензин,Москва
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,5 000,2.0,190,2023,Not available,Not available,синий,робот,полный,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,36,2.0,238,2025,4 050 000,4 050 000,зелёный,автомат,полный,Бензин,Москва
Chery Tiggo 7 I,Chery,Tiggo 7 I,72 000,1.5,152,2020,649 000,649 000,серебристый,механика,передний,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,10 000,1.5,177,2022,1 386 000,1 386 000,жёлтый,автомат,передний,Бензин,Москва
Chery Tiggo 4 I Рестайлинг,Chery,Tiggo 4 I Рестайлинг,81 758,1.5,113,2022,1 046 000,1 046 000,серый,вариатор,передний,Бензин,Москва
Haval M6 II,Haval,M6 II,10 487,1.5,143,2024,Not available,Not available,чёрный,робот,передний,Бензин,Северо-Западный административный округ
Chery Tiggo 8 Pro Max I,Chery,Tiggo 8 Pro Max I,118 706,2.0,197,2023,1 550 000,1 550 000,белый,робот,полный,Бензин,Тимохово
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,16 000,1.5,147,2022,1 840 000,1 840 000,серебристый,робот,передний,Бензин,Королёв
Geely Boyue Cool,Geely,Boyue Cool,5 000,1.5,174,2024,1 750 000,1 750 000,белый,робот,передний,Бензин,Москва
Geely Jiaji L I Рестайлинг,Geely,Jiaji L I Рестайлинг,10,1.5,181,2024,2 699 999,2 699 999,серый,робот,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,5,2.0,238,2024,3 590 000,3 590 000,серебристый,автомат,полный,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,58 000,1.5,177,2022,2 100 000,2 100 000,синий,робот,полный,Бензин,Одинцово
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,10,2.0,238,2025,3 750 000,3 750 000,зелёный,автомат,полный,Бензин,Москва
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 325 000 ,Not available,Prime,автомат,полный,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 735 200 ,Not available,Ultra,автомат,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,1 876 000 ,Not available,Active,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 302 000 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 471 823 ,Not available,Ultra AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 142 000 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 189 267 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 487 750 ,Not available,Prime,автомат,полный,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 325 000 ,Not available,Prime,автомат,полный,Бензин,Балашиха
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,Новый,1.5,113,2024,1 521 940 ,Not available,Action,вариатор,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 002 000 ,Not available,Prime,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Plug-in Hybrid,Chery,Tiggo 7 Pro Plug-in Hybrid,Новый,1.5,235,2023,2 957 220 ,Not available,Ultimate,автомат,передний,Гибрид,Балашиха
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 470 000 ,Not available,Action,вариатор,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 096 430 ,Not available,Active AWD,робот,полный,Бензин,Балашиха
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 549 000 ,Not available,Tech Plus,робот,полный,Бензин,Тула (170 км от Москвы)
Chery Tiggo 8 Pro Max I,Chery,Tiggo 8 Pro Max I,Новый,2.0,197,2024,2 709 000 ,Not available,Dreamline,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 172 212 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 142 350 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,1.6,186,2024,2 359 000 ,Not available,Elite FWD,робот,передний,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 487 750 ,Not available,Prime,автомат,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 422 210 ,Not available,Ultra AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,2 025 025,2 025 025,Action,механика,передний,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 584 000 ,Not available,Ultra,автомат,полный,Бензин,Балашиха
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2025,2 450 000 ,Not available,Tech+,робот,полный,Бензин,Химки
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,36,2.0,238,2025,4 050 000,4 050 000,зелёный,автомат,полный,Бензин,Москва
Geely Cityray,Geely,Cityray,42,1.5,147,2024,2 245 000,2 245 000,серый,робот,передний,Бензин,Москва
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,5 000,2.0,190,2023,Not available,Not available,синий,робот,полный,Бензин,Москва
Chery Tiggo 7 I,Chery,Tiggo 7 I,72 000,1.5,152,2020,649 000,649 000,серебристый,механика,передний,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,10 000,1.5,177,2022,1 386 000,1 386 000,жёлтый,автомат,передний,Бензин,Москва
Chery Tiggo 4 I Рестайлинг,Chery,Tiggo 4 I Рестайлинг,81 758,1.5,113,2022,1 046 000,1 046 000,серый,вариатор,передний,Бензин,Москва
Haval M6 II,Haval,M6 II,10 487,1.5,143,2024,Not available,Not available,чёрный,робот,передний,Бензин,Северо-Западный административный округ
Chery Tiggo 8 Pro Max I,Chery,Tiggo 8 Pro Max I,118 706,2.0,197,2023,1 550 000,1 550 000,белый,робот,полный,Бензин,Тимохово
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,16 000,1.5,147,2022,1 840 000,1 840 000,серебристый,робот,передний,Бензин,Королёв
Geely Boyue Cool,Geely,Boyue Cool,5 000,1.5,174,2024,1 750 000,1 750 000,белый,робот,передний,Бензин,Москва
Geely Jiaji L I Рестайлинг,Geely,Jiaji L I Рестайлинг,10,1.5,181,2024,2 699 999,2 699 999,серый,робот,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,5,2.0,238,2024,3 590 000,3 590 000,серебристый,автомат,полный,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,58 000,1.5,177,2022,2 100 000,2 100 000,синий,робот,полный,Бензин,Одинцово
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,10,2.0,238,2025,3 750 000,3 750 000,зелёный,автомат,полный,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,1 876 000 ,Not available,Active,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 302 000 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 471 823 ,Not available,Ultra AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 142 000 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 189 267 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 487 750 ,Not available,Prime,автомат,полный,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 325 000 ,Not available,Prime,автомат,полный,Бензин,Балашиха
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,Новый,1.5,113,2024,1 521 940 ,Not available,Action,вариатор,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 002 000 ,Not available,Prime,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Plug-in Hybrid,Chery,Tiggo 7 Pro Plug-in Hybrid,Новый,1.5,235,2023,2 957 220 ,Not available,Ultimate,автомат,передний,Гибрид,Балашиха
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 470 000 ,Not available,Action,вариатор,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 096 430 ,Not available,Active AWD,робот,полный,Бензин,Балашиха
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 549 000 ,Not available,Tech Plus,робот,полный,Бензин,Тула (170 км от Москвы)
Chery Tiggo 8 Pro Max I,Chery,Tiggo 8 Pro Max I,Новый,2.0,197,2024,2 709 000 ,Not available,Dreamline,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 172 212 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 142 350 ,Not available,Prime AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,1.6,186,2024,2 359 000 ,Not available,Elite FWD,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 422 210 ,Not available,Ultra AWD,робот,полный,Бензин,Балашиха
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,2 025 025,2 025 025,Action,механика,передний,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 584 000 ,Not available,Ultra,автомат,полный,Бензин,Балашиха
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2024,1 922 253 ,Not available,Ultra,робот,передний,Бензин,Балашиха
